"","X1","X1_3","X1_2","X1_1","stimuliShown","group_1","perceptual_result","block","stim1","stim2","response","rt","reward","ID","stim_chosen","typeOfChoice","highChosen","riskChosen","forced","choices","win","correct","risky","trial","trial_cont","trial_id","trial_n","trigger_integer","buttonBox_2.keys","participant","ID_n","trigger_feedback","trialIndex","first_observer","second_observer","block_soc","pair_type"
"1",1,1,1,1,21,"underestimator","overestimator",1,2,1,NA,NA,66,1,0,1,NA,NA,0,NA,1,NA,NA,1,1,1,1,21,"None","sub-001",1,22,1,"out-group","in-group","baseline","both_high"
"2",2,2,2,2,31,"underestimator","overestimator",1,3,1,NA,NA,59,1,0,2,0,NA,0,NA,NA,NA,NA,2,2,2,2,31,"None","sub-001",1,32,2,"out-group","in-group","baseline","different"
"3",3,3,3,3,23,"underestimator","overestimator",1,2,3,NA,NA,48,1,0,4,0,NA,0,NA,NA,NA,NA,3,3,3,3,23,"None","sub-001",1,24,3,"out-group","in-group","baseline","different"
"4",4,4,4,4,13,"underestimator","overestimator",1,1,3,1,0.9840647,59,1,3,2,0,NA,0,0,NA,0,NA,4,4,4,4,13,"1","sub-001",1,14,4,"out-group","in-group","baseline","different"
"5",5,5,5,5,13,"underestimator","overestimator",1,1,3,0,1.1326143,63,1,1,2,1,NA,0,1,NA,1,NA,5,5,5,5,13,"0","sub-001",1,14,5,"out-group","in-group","baseline","different"
"6",6,6,6,6,43,"underestimator","overestimator",1,4,3,1,0.608768,55,1,3,6,NA,1,0,0,-1,NA,1,6,6,6,6,43,"1","sub-001",1,44,6,"out-group","in-group","baseline","both_low"
"7",7,7,7,7,34,"underestimator","overestimator",1,3,4,1,1.1309331,42,1,4,6,NA,0,0,0,-1,NA,0,7,7,7,7,34,"1","sub-001",1,35,7,"out-group","in-group","baseline","both_low"
"8",8,8,8,8,42,"underestimator","overestimator",1,4,2,0,1.1826298,41,1,4,5,0,NA,0,1,NA,0,NA,8,8,8,8,42,"0","sub-001",1,43,8,"out-group","in-group","baseline","different"
"9",9,9,9,9,12,"underestimator","overestimator",1,1,2,1,0.6281477,72,1,2,1,NA,0,0,0,1,NA,0,9,9,9,9,12,"1","sub-001",1,13,9,"out-group","in-group","baseline","both_high"
"10",10,10,10,10,12,"underestimator","overestimator",1,1,2,1,1.0904238,55,1,2,1,NA,0,0,0,1,NA,0,10,10,10,10,12,"1","sub-001",1,13,10,"out-group","in-group","baseline","both_high"
